scenario,count,rx_seq,rssi_dbm,rate,sig_mode,mcs,cwb,ant,noise_floor_dbm,channel,timestamp_us,len_bytes
download,2,5,-86,11,1,2,0,0,-97,1,61182029,384
download,3,6,-84,11,1,3,0,0,-97,1,65410479,384
download,4,7,-85,11,1,2,0,0,-97,1,86032617,384
download,5,8,-84,11,1,2,0,0,-97,1,86585687,384
download,6,9,-84,11,1,2,0,0,-97,1,88242796,384
download,7,10,-84,11,1,2,0,0,-97,1,108250070,384
download,8,11,-86,11,1,0,0,0,-97,1,108773400,384
download,9,12,-85,11,1,0,0,0,-97,1,115949626,384
download,10,13,-85,11,1,2,0,0,-97,1,131846570,384
download,11,14,-85,11,1,2,0,0,-97,1,132549633,384
download,12,15,-82,11,1,2,0,0,-97,1,133853461,384
download,13,16,-84,11,1,2,0,0,-97,1,155359562,384
download,14,17,-85,11,1,2,0,0,-97,1,158249057,384
video,0,0,-84,11,0,0,0,0,-97,1,21279378,128
video,1,0,-86,11,0,0,0,0,-97,1,21373712,128
video,2,2011,-81,11,0,0,0,0,-97,1,26820316,128
video,3,2011,-82,11,0,0,0,0,-97,1,26950912,128
video,4,2268,-81,11,0,0,0,0,-97,1,27655443,128
video,5,2268,-83,11,0,0,0,0,-97,1,27787095,128
video,6,2441,-82,11,0,0,0,0,-96,1,28131341,128
video,7,3,-87,11,1,0,0,0,-96,1,28135187,384
video,8,2441,-83,11,0,0,0,0,-96,1,28302135,128
video,9,4,-87,11,1,1,0,0,-96,1,28307792,384
video,10,2441,-82,11,0,0,0,0,-96,1,28481927,128
video,11,2441,-87,11,0,0,0,0,-96,1,28626724,128
video,12,2825,-85,11,0,0,0,0,-97,1,35504161,128
video,13,2824,-79,11,0,0,0,0,-97,1,35634600,128
video,14,2837,-79,11,0,0,0,0,-97,1,36224591,128
video,15,5,-84,11,1,2,0,0,-97,1,36227097,384
video,16,2850,-84,11,0,0,0,0,-97,1,36395277,128
video,17,2850,-80,11,0,0,0,0,-97,1,36535109,128
